Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
0,hyundai kona,61032325,Hyundai,Kona,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,160 kW,150 kW,0 g/km,No emission class,Lithium polymer (Li-pol),6 h,40 min,160000 km,No,10 km,9/2023,New,0 kWh/100km (combined),53099,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats,,,,,,,,,,,,,,
1,volkswagen up!,61032250,Volkswagen,up!,Black,,Other interior color,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,61 kW,,112 g/km,Euro 6d,,,,,No,35 km,9/2023,New,5.5 l/100km (combined),27749,EUR,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999 ccm,,,,,,,,,,,,,
2,seat ibiza,61032203,Seat,Ibiza,Black,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,110 g/km,Euro 6,,,,,,2 855 km,6/2023,Demonstration car,4.8 l/100km (combined); 7.7 l/100km (city); 5.8 l/100km ,27549,EUR,LED headlights; Digital cockpit; Keyless entry; Panoramic roof; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Light sensor,999 ccm,06/2024,,,,,,,,,,,,
3,ford kuga,61032104,Ford,Kuga,Silver,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,125 g/km,Euro 6d,,,,,,8 km,4/2023,,6.6 l/100km (combined); 6.9 l/100km (city); 4.8 l/100km ,37249,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1 496 ccm,,1.0,,,,,,,,,,,
4,dodge nitro,61032099,Dodge,Nitro,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,191 kW,,288 g/km,Euro 4,,,,,,158 863 km,4/2011,,12.1 l/100km (combined),14799,EUR,Electric adjustable front seats; Heated front seats; Navigation system; Leather; Automatic A/C; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; On-board computer,3 952 ccm,,2.0,,,,,,,,,,,
5,hyundai tucson,61032109,Hyundai,Tucson,White,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Manual,4x2,169 kW,44 kW,139 g/km,Euro 6d,Lithium polymer (Li-pol),,,200000 km,No,10 km,9/2023,New,6.1 l/100km (combined),31999,EUR,LED headlights; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning,1 598 ccm,,,,,,,,,,,,,
6,hyundai kona,61032047,Hyundai,Kona,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,160 kW,,0 g/km,No emission class,Lithium-ion (Li-ion),6 h,43 min,,No,8 km,9/2023,New,0 kWh/100km (combined),54999,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats,,,,160 kW,65 kWh,,,,,,,,,
7,volkswagen t6-california,61032037,Volkswagen,T6 California,Black,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Automatic,4x2,110 kW,,179 g/km,Euro 6d-TEMP,,,,,,20 km,10/2023,,6.9 l/100km (combined); 10.1 l/100km (city); 6.9 l/100km ,75299,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; High beam assist,1 968 ccm,,1.0,,,,,,,,,,,
8,mercedes-benz vito,61032035,Mercedes-Benz,Vito,Blue,,Black interior,Cloth interior,Cargo VAN,4/5 doors,6,not published by the seller,Diesel,Manual,4x2,100 kW,,191 g/km,Euro 6c,,,,,,23 544 km,6/2019,,7.3 l/100km (combined); 8.6 l/100km (city); 5.9 l/100km ,32949,EUR,Heated front seats; Integrated music streaming; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,2 143 ccm,,,,,,,,,,,,,
9,mercedes-benz gls-350,61031991,Mercedes-Benz,GLS 350,White,,Brown interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,190 kW,,185 g/km,Euro 6,,,,,,79 800 km,1/2018,,7.1 l/100km (combined); 7.6 l/100km (city); 6.7 l/100km ,59449,EUR,Ventilated front seats; Air suspension; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,2 987 ccm,,1.0,,,,,,,,,,,
10,kia ev6,61031939,Kia,EV6,Blue,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,168 kW,,0 g/km,Euro 6d,,,,,No,0 km,9/2023,New,16.5 kWh/100km (combined),55849,EUR,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,77 kWh,,,,,,,,,
11,citroen berlingo,61031858,Citroen,Berlingo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,130 g/km,Euro 6d-TEMP,,,,,,39 957 km,4/2019,,5.7 l/100km (combined); 6.7 l/100km (city); 5.1 l/100km ,22049,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth,1 199 ccm,,1.0,,,,,,,,,,,
12,volkswagen t5-transporter,61031802,Volkswagen,T5 Transporter,Grey,,Grey interior,Other interior material,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Manual,4x4,103 kW,,219 g/km,Euro 5,,,,,,82 423 km,1/2013,,8.3 l/100km (combined),46149,EUR,On-board computer; CD player; Front electric windows; Detachable trailer coupling,1 968 ccm,,1.0,,,,,,,,,,,
13,lada niva,61031796,Lada,Niva,Black,,Grey interior,Cloth interior,SUV / offroad,2/3 doors,4,not published by the seller,Petrol,Manual,4x4,61 kW,,246 g/km,Euro 6,,,,,,10 km,9/2023,New,10 l/100km (combined); 12.2 l/100km (city); 8.5 l/100km ,20749,EUR,Bluetooth; Daytime running lights; On-board computer; Front electric windows,1 690 ccm,,,,,,,,,,,,,
14,renault grand-scenic,61031768,Renault,Grand Scenic,Black,Metallic,Black interior,Full leather interior,MPV,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,116 kW,,146 g/km,Euro 6d,,,,,,10 km,12/2023,,6.4 l/100km (combined),34599,EUR,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display,1 333 ccm,,,,,,,,,,,,,
15,volkswagen taigo,61031754,Volkswagen,Taigo,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,111 g/km,Euro 6d,,,,,,10 km,8/2023,,4.9 l/100km (combined); 5.9 l/100km (city); 4.1 l/100km ,24599,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor,999 ccm,,,,,,,,,,,,,
16,volkswagen t-roc,61031713,Volkswagen,T-Roc,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,127 g/km,Euro 6d-TEMP,,,,,,36 099 km,10/2019,,5.6 l/100km (combined); 6.8 l/100km (city); 4.9 l/100km ,25149,EUR,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Automatic 2-zones air conditioning,1 498 ccm,10/2024,1.0,,,,,,,,,,,
17,bmw 530,61031675,BMW,530,Grey,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,210 kW,,133 g/km,Euro 6d,,,,,No,25 700 km,3/2023,Used,5.1 l/100km (combined); 6.4 l/100km (city); 4.3 l/100km ,56399,EUR,Laser headlights; Ventilated front seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display,2 993 ccm,,1.0,,,Mild hybrid,,,,,,,,
18,mercedes-benz glc-220,61031665,Mercedes-Benz,GLC 220,Black,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,143 kW,,140 g/km,Euro 6d,,,,,,28 500 km,1/2022,,5.3 l/100km (combined); 6.1 l/100km (city); 4.9 l/100km ,48999,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1 950 ccm,,1.0,,,,,,,,,,,
19,kia e-niro,61031640,Kia,e-Niro,Black,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,,,,,No,1 km,9/2023,New,0 kWh/100km (combined),46349,EUR,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,65 kWh,,,,,,,,,
20,opel combo,61031584,Opel,Combo,Grey,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,122 g/km,Euro 6d,,,,,,21 100 km,2/2021,,5.3 l/100km (combined); 6.3 l/100km (city); 4.8 l/100km ,29449,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1 199 ccm,,1.0,,,,,,,,,,,
21,mercedes-benz e-200,61031540,Mercedes-Benz,E 200,Black,Metallic,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,135 kW,,138 g/km,Euro 6,,,,,,48 000 km,10/2017,,6.2 l/100km (combined); 8.1 l/100km (city); 5.2 l/100km ,39299,EUR,LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1 991 ccm,03/2025,2.0,,,,,,,,,,,
22,volkswagen up!,61031514,Volkswagen,up!,Black,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,61 kW,,98 g/km,No emission class,,,,,No,0 km,9/2023,New,5 l/100km (combined),29999,EUR,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999 ccm,,,,,,,,,,,,,
23,citroen c5-aircross,61031504,Citroen,C5 Aircross,White,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,119 g/km,Euro 6d-TEMP,,,,,,43 478 km,5/2020,,5.2 l/100km (combined); 6.1 l/100km (city); 4.7 l/100km ,20449,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Lane assist,1 199 ccm,,1.0,,,,,,,,,,,
24,audi q3,61031482,Audi,Q3,Black,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,169 kW,,168 g/km,Euro 6d-TEMP,,,,,,49 500 km,12/2019,,7.4 l/100km (combined); 9.7 l/100km (city); 6.5 l/100km ,40799,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1 984 ccm,,,,,,,,,,,,,
25,audi a1,61031464,Audi,A1,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,,112 g/km,Euro 6d-TEMP,,,,,,10 km,9/2023,New,4.9 l/100km (combined),32099,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,999 ccm,,,,,,,,,,,,,
26,dacia spring,61031476,Dacia,Spring,Grey,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,33 kW,33 kW,0 g/km,No emission class,Lithium-ion (Li-ion),8 h,,120000 km,No,8 km,7/2023,Demonstration car,,18699,EUR,Leather; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Front electric windows,,07/2026,1.0,,27 kWh,,,,,,,,,
27,mercedes-benz glc-220,61031421,Mercedes-Benz,GLC 220,White,,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,143 kW,,174 g/km,Euro 6d,,,,,,10 km,4/2023,,6.6 l/100km (combined),63899,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Glare-free high beam headlights; El. tailgate,1 950 ccm,,,,,,,,,,,,,
28,hyundai tucson,61031348,Hyundai,Tucson,White,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,132 kW,,129 g/km,Euro 6d,,,,,,0 km,12/2023,Demonstration car,5.6 l/100km (combined),37299,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 598 ccm,,1.0,,,,,,,,,,,
29,volkswagen golf-sportsvan,61031325,Volkswagen,Golf Sportsvan,Blue,Metallic,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,127 g/km,Euro 6,,,,,,111 492 km,7/2014,,5.5 l/100km (combined); 6.8 l/100km (city); 4.6 l/100km ,13899,EUR,Parking assist system self-steering; Heated front seats; Panoramic roof; Navigation system; Glare-free high beam headlights; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Front collision warning system,1 395 ccm,02/2024,2.0,,,,,,,,,,,
30,skoda superb,61031292,Skoda,Superb,Red,Metallic,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,147 kW,,132 g/km,Euro 6d,,,,,,150 000 km,12/2020,,5 l/100km (combined); 6.4 l/100km (city); 4.4 l/100km ,31049,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1 968 ccm,12/2023,1.0,,,,,,,,,,,
31,renault clio,61031280,Renault,Clio,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,123 g/km,Euro 6d,,,,,,10 km,12/2023,,5.4 l/100km (combined); 7.2 l/100km (city); 4.6 l/100km ,25749,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 333 ccm,,,,,,,,,,,,,
32,volkswagen caddy,61031236,Volkswagen,Caddy,Blue,Metallic,Black interior,Cloth interior,Cargo VAN,6/7 doors,5,not published by the seller,Petrol,Automatic,4x2,84 kW,,134 g/km,Euro 6d,,,,,,5 588 km,2/2023,,5.8 l/100km (combined),35249,EUR,Adaptive cruise control; Heated front seats; Bluetooth; High beam assist; Light sensor; Lane assist; Front collision warning system; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment,1 498 ccm,02/2026,1.0,,,,,,,,,,,
33,skoda superb,61031209,Skoda,Superb,Black,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,125 g/km,Euro 6d,,,,,,20 km,8/2023,New,4.8 l/100km (combined); 7 l/100km (city); 5.2 l/100km ,42049,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control,1 968 ccm,06/2026,,,,,,,,,,,,
34,opel combo,61031158,Opel,Combo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,7,not published by the seller,LPG,Manual,4x2,81 kW,,149 g/km,Euro 6d,,,,,,1 270 km,9/2022,,5.7 l/100km (combined); 7.5 l/100km (city); 6.3 l/100km ,41249,EUR,Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Light sensor; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment,1 199 ccm,,1.0,,,,,,,,,,,
35,renault captur,61031154,Renault,Captur,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,132 g/km,Euro 6,,,,,,5 km,12/2023,,5.7 l/100km (combined); 7.1 l/100km (city); 5 l/100km ,31749,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition,1 332 ccm,,1.0,,,,,,,,,,,
36,mercedes-benz c-63-amg,61031151,Mercedes-Benz,C 63 AMG,Black,Metallic,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,375 kW,,208 g/km,Euro 6,,,,,,59 950 km,2/2017,,8.9 l/100km (combined); 12 l/100km (city); 7.2 l/100km ,68499,EUR,Ventilated front seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition,3 982 ccm,05/2024,3.0,,,,,,,,,,,
37,jeep gladiator,61031140,Jeep,Gladiator,Blue,Metallic,Black interior,Full leather interior,Pick-up,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,213 kW,,0 g/km,Euro 6,,,,,,68 320 km,10/2021,,,56349,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control; Navigation system,3 604 ccm,,1.0,,,,,,,,,,,
38,volvo xc90,61031081,Volvo,XC90,,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,173 kW,,154 g/km,Euro 6d-TEMP,,,,,,47 433 km,12/2020,,5.9 l/100km (combined); 6.4 l/100km (city); 5.1 l/100km ,50999,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1 969 ccm,,2.0,,,,,,,,,,,
39,mercedes-benz c-200,61031078,Mercedes-Benz,C 200,Silver,,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,100 kW,,135 g/km,Euro 6,,,,,,64 590 km,5/2016,,5.9 l/100km (combined); 4.9 l/100km (city); 3.7 l/100km ,18949,EUR,Electric adjustable front seats; Navigation system; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 598 ccm,,3.0,,,,,,,,,,,
40,mercedes-benz c-300,61031059,Mercedes-Benz,C 300,Silver,Metallic,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,210 kW,,138 g/km,Euro 6d-TEMP,,,,,,5 000 km,12/2022,,5.5 l/100km (combined); 7.5 l/100km (city); 4.4 l/100km ,56299,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,1 993 ccm,12/2025,1.0,,,,,,,,,,,
41,mazda 3,61031017,Mazda,3,Red,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Manual,4x2,132 kW,,102 g/km,Euro 6d,,,,,No,16 400 km,12/2020,,4.5 l/100km (combined); 5.2 l/100km (city); 4.1 l/100km ,27849,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display; Apple CarPlay; Android auto,1 998 ccm,,1.0,,,Mild hybrid,,,,,,,,
42,mazda mx-5,61031000,Mazda,MX-5,Grey,Metallic,Brown interior,Cloth interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Manual,4x2,135 kW,,156 g/km,Euro 6,,,,,,99 km,10/2023,Demonstration car,6.9 l/100km (combined); 8.4 l/100km (city); 5.9 l/100km ,37349,EUR,LED headlights; Digital cockpit; Bose audio; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA),1 998 ccm,,1.0,,,,,,,,,,,
43,dacia sandero,61030972,Dacia,Sandero,White,,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,67 kW,,127 g/km,Euro 6d,,,,,,10 km,10/2023,,5.6 l/100km (combined); 6.6 l/100km (city); 6.3 l/100km ,19399,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Bluetooth; Automatic A/C; Rain sensor; Light sensor,999 ccm,,,,,,,,,,,,,
44,bmw x2,61030973,BMW,X2,White,,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,131 kW,,0 g/km,Euro 6d,,,,,,8 500 km,8/2022,,,38399,EUR,LED headlights; Heated front seats; Head-up display; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Navigation system; El. tailgate; Sport front seats; Traffic sign recognition,1 998 ccm,,1.0,,,,,,,,,,,
45,bmw x3,61030948,BMW,X3,Grey,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x4,140 kW,,142 g/km,Euro 6,,,,,,117 000 km,9/2015,,5.4 l/100km (combined); 6.1 l/100km (city); 5 l/100km ,20049,EUR,Heated front seats; Integrated music streaming; Panoramic roof; El. tailgate; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Parking sensors,1 995 ccm,09/2024,2.0,,,,,,,,,,,
46,mercedes-benz e-300,61030908,Mercedes-Benz,E 300,White,,Brown interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,180 kW,,147 g/km,Euro 6d-TEMP,,,,,,84 867 km,2/2020,,6.4 l/100km (combined); 5.9 l/100km (city); 4.5 l/100km ,37199,EUR,Air suspension; Parking assist system self-steering; LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 950 ccm,,1.0,,,,,,,,,,,
47,volkswagen t6-transporter,61030895,Volkswagen,T6 Transporter,Grey,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,9+,not published by the seller,Diesel,Automatic,4x2,110 kW,,165 g/km,Euro 6,,,,,,120 000 km,8/2019,,6.3 l/100km (combined); 7.2 l/100km (city); 5.8 l/100km ,30999,EUR,Heated front seats; Navigation system; Bluetooth; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; CD player; USB,1 968 ccm,10/2024,2.0,,,,,,,,,,,
48,suzuki jimny,61030867,Suzuki,Jimny,Black,Metallic,Black interior,Cloth interior,SUV / offroad,2/3 doors,2,not published by the seller,Petrol,Manual,4x4,75 kW,,173 g/km,Euro 6d-TEMP,,,,,,5 km,12/2023,,7.7 l/100km (combined),33399,EUR,Heated front seats; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Fatigue warning system,1 462 ccm,12/2026,1.0,,,,,,,,,,,
49,audi a8,61030881,Audi,A8,Silver,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,258 kW,,199 g/km,Euro 5,,,,,,91 580 km,3/2010,,7.6 l/100km (combined); 10.2 l/100km (city); 6.1 l/100km ,26299,EUR,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Integrated music streaming,4 134 ccm,04/2025,2.0,,,,,,,,,,,
50,renault twingo,61030853,Renault,Twingo,White,,Other interior color,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,,112 g/km,Euro 6,,,,,,50 000 km,9/2016,,5 l/100km (combined); 6.3 l/100km (city); 4.2 l/100km ,7799,EUR,Panoramic roof; Hill-start assist; Multifunctional steering wheel; Daytime running lights; On-board computer; Alarm; Front electric windows,999 ccm,08/2025,2.0,,,,,,,,,,,
51,volkswagen up!,61030828,Volkswagen,up!,Black,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,61 kW,,98 g/km,No emission class,,,,,No,0 km,9/2023,New,5 l/100km (combined),27499,EUR,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999 ccm,,,,,,,,,,,,,
52,volkswagen t-cross,61030781,Volkswagen,T-Cross,Grey,Metallic,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,110 g/km,Euro 6d-TEMP,,,,,,19 346 km,9/2022,,5.8 l/100km (combined); 5.8 l/100km (city); 4.2 l/100km ,21399,EUR,Digital cockpit; Adaptive cruise control; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Lane assist,999 ccm,09/2025,1.0,,,,,,,,,,,
53,ford kuga,61030774,Ford,Kuga,Grey,Metallic,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,125 g/km,Euro 6d,,,,,,15 561 km,2/2022,,6.6 l/100km (combined); 6.8 l/100km (city); 4.7 l/100km ,26749,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 496 ccm,,1.0,,,,,,,,,,,
